시군구,행정동명,인구 전체,내국인 전체,내국인 남자,내국인 여자,외국인 전체, 외국인 남자, 외국인 여자,데이터기준일자
안산시 상록구,일     동,23533,22225,11382,10843,1308,594,714,2026-02-20
안산시 상록구,이     동,24897,22151,12080,10071,2746,1348,1398,2026-02-20
안산시 상록구,사     동,31790,28783,15192,13591,3007,1449,1558,2026-02-20
안산시 상록구,사 이 동,30431,29690,15017,14673,741,337,404,2026-02-20
안산시 상록구,해 양 동,42116,39189,19626,19563,2927,1420,1507,2026-02-20
안산시 상록구,본오1동,35819,34054,17674,16380,1765,910,855,2026-02-20
안산시 상록구,본오2동,24780,23825,11756,12069,955,491,464,2026-02-20
안산시 상록구,본오3동,18798,17776,8870,8906,1022,534,488,2026-02-20
안산시 상록구,부 곡 동,20329,19794,10200,9594,535,237,298,2026-02-20
안산시 상록구,월 피 동,35597,34842,17834,17008,755,347,408,2026-02-20
안산시 상록구,성 포 동,24324,24159,11787,12372,165,53,112,2026-02-20
안산시 상록구,반 월 동,18063,17767,8945,8822,296,178,118,2026-02-20
안산시 상록구,안 산 동,8260,8074,4263,3811,186,131,55,2026-02-20
안산시 단원구,와     동,37197,34997,18683,16314,2200,1087,1113,2026-02-20
안산시 단원구,고 잔 동,20189,19497,9700,9797,692,322,370,2026-02-20
안산시 단원구,중 앙 동,23915,23433,11648,11785,482,195,287,2026-02-20
안산시 단원구,호 수 동,42114,41754,21036,20718,360,193,167,2026-02-20
안산시 단원구,원 곡 동,19206,5354,3019,2335,13852,7906,5946,2026-02-20
안산시 단원구,백 운 동,27462,23753,11887,11866,3709,2001,1708,2026-02-20
안산시 단원구,신 길 동,23584,20384,10902,9482,3200,1879,1321,2026-02-20
안산시 단원구,초 지 동,50865,45952,23510,22442,4913,4079,834,2026-02-20
안산시 단원구,선부 1동,17986,16623,8430,8193,1363,740,623,2026-02-20
안산시 단원구,선부 2동,22125,17046,9052,7994,5079,2752,2327,2026-02-20
안산시 단원구,선부 3동,33686,31616,16258,15358,2070,1086,984,2026-02-20
안산시 단원구,대 부 동,9355,9122,4719,4403,233,181,52,2026-02-20
