구분,합계,한국인배우자,결혼이민자,귀화자,자녀외국출생,자녀국내출생,동거인내국인,동거인외국인
 경주시 ,6288 ,872 ,1037 ,928 ,55 ,1751 ,1493 ,152 
 감포읍 ,101 ,13 ,14 ,8 ,2 ,26 ,36 ,2 
 안강읍 ,661 ,102 ,77 ,97 ,4 ,210 ,161 ,10 
 건천읍 ,225 ,32 ,27 ,37 ,3 ,60 ,61 ,5 
 외동읍 ,1407 ,166 ,323 ,273 ,15 ,362 ,210 ,58 
 양남면 ,168 ,21 ,25 ,22 ,0 ,48 ,49 ,3 
 내남면 ,145 ,20 ,12 ,20 ,0 ,52 ,39 ,2 
 산내면 ,79 ,14 ,7 ,13 ,0 ,21 ,20 ,4 
 서면 ,98 ,13 ,13 ,12 ,0 ,24 ,35 ,1 
 현곡면 ,324 ,60 ,46 ,39 ,5 ,88 ,80 ,6 
 강동면 ,148 ,21 ,22 ,15 ,0 ,41 ,47 ,2 
 천북면 ,134 ,18 ,20 ,13 ,1 ,45 ,37 ,0 
 문무대왕면 ,115 ,18 ,13 ,15 ,1 ,38 ,28 ,2 
 중부동 ,126 ,17 ,20 ,24 ,1 ,34 ,29 ,1 
 성건동 ,391 ,48 ,75 ,65 ,4 ,88 ,91 ,20 
 월성동 ,179 ,25 ,23 ,13 ,1 ,58 ,58 ,1 
 선도동 ,282 ,40 ,47 ,32 ,1 ,82 ,71 ,9 
 용강동 ,370 ,52 ,55 ,47 ,4 ,108 ,99 ,5 
 황성동 ,405 ,67 ,68 ,44 ,6 ,118 ,94 ,8 
 동천동 ,433 ,61 ,65 ,70 ,2 ,127 ,101 ,7 
 불국동 ,240 ,37 ,41 ,34 ,4 ,62 ,57 ,5 
 보덕동 ,20 ,3 ,4 ,0 ,0 ,4 ,9 ,0 
 황오동 ,124 ,9 ,27 ,23 ,1 ,26 ,37 ,1 
 황남동 ,113 ,15 ,13 ,12 ,0 ,29 ,44 ,0 
