"국적별(1)",2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"국적별(1)",외국인 아내의 국적/한국인 남편의 혼인종류,외국인 아내의 국적/한국인 남편의 혼인종류,외국인 아내의 국적/한국인 남편의 혼인종류,외국인 아내의 국적/한국인 남편의 혼인종류,외국인 아내의 국적/한국인 남편의 혼인종류,외국인 남편의 국적/한국인 아내의 혼인종류,외국인 남편의 국적/한국인 아내의 혼인종류,외국인 남편의 국적/한국인 아내의 혼인종류,외국인 남편의 국적/한국인 아내의 혼인종류,외국인 남편의 국적/한국인 아내의 혼인종류
"국적별(1)",계,초혼,재혼,재혼,재혼,계,초혼,재혼,재혼,재혼
"국적별(1)",소계,소계,소계,사별후,이혼후,소계,소계,소계,사별후,이혼후
"합계",2698,2193,505,22,483,1349,1148,201,9,192
"일본",402,376,26,-,26,49,39,10,-,10
"중국",492,329,163,13,150,193,109,84,8,76
"미국",230,208,22,1,21,520,486,34,-,34
"필리핀",60,40,20,-,20,-,-,-,-,-
"베트남",525,395,130,4,126,31,1,30,1,29
"태국",195,146,49,1,48,-,-,-,-,-
"캄보디아",29,23,6,1,5,4,2,2,-,2
"영국",-,-,-,-,-,50,45,5,-,5
"캐나다",-,-,-,-,-,100,94,6,-,6
"호주",-,-,-,-,-,49,45,4,-,4
"라오스",47,32,15,1,14,-,-,-,-,-
"기타",718,644,74,1,73,353,327,26,-,26
