"시군별(1)",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"시군별(1)",총계,총계,총계,중국,중국,중국,중국(한국계),중국(한국계),중국(한국계),미국,미국,미국,베트남,베트남,베트남,일본,일본,일본,영국,영국,영국,필리핀,필리핀,필리핀,대만,대만,대만,인도네시아,인도네시아,인도네시아,캐나다,캐나다,캐나다,기타,기타,기타
"시군별(1)",합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자
"전체",23484,13295,10189,2618,1082,1536,1135,538,597,395,191,204,6130,3297,2833,571,43,528,85,39,46,1034,478,556,327,160,167,1122,996,126,67,49,18,10000,6422,3578
"춘천시",4317,2191,2126,719,279,440,171,81,90,77,46,31,1238,709,529,110,10,100,29,13,16,152,59,93,55,25,30,74,44,30,12,10,2,1680,915,765
"원주시",4776,2593,2183,978,444,534,304,148,156,127,59,68,1034,485,549,96,14,82,17,10,7,187,92,95,116,52,64,103,87,16,17,12,5,1797,1190,607
"강릉시",3379,1893,1486,235,100,135,104,45,59,42,21,21,1460,794,666,56,4,52,8,6,2,81,26,55,63,36,27,176,158,18,12,7,5,1142,696,446
"동해시",972,603,369,97,46,51,54,22,32,13,5,8,229,127,102,15,3,12,8,4,4,42,15,27,11,5,6,156,155,1,2,1,1,345,220,125
"태백시",331,118,213,28,4,24,18,9,9,27,11,16,86,22,64,7,-,7,2,1,1,27,4,23,6,2,4,6,6,-,5,4,1,119,55,64
"속초시",1364,877,487,96,64,32,81,38,43,17,8,9,367,236,131,43,3,40,2,-,2,72,39,33,35,16,19,245,231,14,4,3,1,402,239,163
"삼척시",851,525,326,101,38,63,25,10,15,5,2,3,344,240,104,22,-,22,1,1,-,62,21,41,9,3,6,102,91,11,3,3,-,177,116,61
"홍천군",990,581,409,51,16,35,72,35,37,9,2,7,183,72,111,27,1,26,2,1,1,38,21,17,10,6,4,16,6,10,1,-,1,581,421,160
"횡성군",1043,644,399,81,31,50,80,44,36,8,4,4,244,130,114,14,-,14,3,1,2,61,26,35,1,-,1,58,45,13,1,1,-,492,362,130
"영월군",343,183,160,31,9,22,26,16,10,10,6,4,79,24,55,17,1,16,2,-,2,28,11,17,-,-,-,-,-,-,2,2,-,148,114,34
"평창군",578,272,306,75,25,50,74,38,36,8,6,2,91,28,63,29,3,26,1,-,1,45,24,21,8,6,2,4,1,3,2,2,-,241,139,102
"정선군",293,94,199,24,-,24,22,12,10,3,3,-,102,29,73,7,-,7,2,1,1,37,10,27,4,2,2,1,-,1,1,-,1,90,37,53
"철원군",839,511,328,21,4,17,20,5,15,7,3,4,92,31,61,32,3,29,-,-,-,53,37,16,2,2,-,5,4,1,-,-,-,607,422,185
"화천군",268,136,132,9,3,6,9,4,5,12,3,9,49,23,26,17,-,17,-,-,-,9,3,6,2,1,1,1,-,1,2,1,1,158,98,60
"양구군",419,253,166,15,-,15,11,8,3,7,1,6,40,13,27,32,-,32,-,-,-,75,58,17,-,-,-,5,2,3,-,-,-,234,171,63
"인제군",543,313,230,19,6,13,18,5,13,8,1,7,71,23,48,13,-,13,3,1,2,26,17,9,4,3,1,-,-,-,1,1,-,380,256,124
"고성군",1812,1290,522,16,4,12,22,10,12,8,5,3,303,233,70,13,1,12,3,-,3,13,4,9,-,-,-,137,133,4,-,-,-,1297,900,397
"양양군",366,218,148,22,9,13,24,8,16,7,5,2,118,78,40,21,-,21,2,-,2,26,11,15,1,1,-,33,33,-,2,2,-,110,71,39
