구분,합계,한국인배우자,결혼이민자,귀화자,귀화 및 외국국적(자녀),국내출생(자녀),내국인(기타동거인),외국인(기타동거인)
 인천광역시 ,85029,11795,13301,18420,2018,18398,17029,4068
 중구 ,5321,842,961,1002,114,1128,1009,265
 연안동 ,198,31,30,43,7,28,46,13
 신포동 ,261,24,41,74,5,41,52,24
 신흥동 ,646,85,112,142,29,131,105,42
 도원동 ,115,18,16,27,,21,22,11
 율목동 ,143,21,20,27,,24,31,19
 동인천동 ,165,19,23,42,,34,31,13
 용유동 ,53,9,9,7,,11,14,
 운서동 ,898,159,187,146,15,182,184,25
 영종동 ,634,118,118,96,11,134,141,16
 영종1동 ,1803,302,341,280,35,473,316,56
 개항동 ,405,56,64,118,7,49,67,44
 동구 ,1750,238,228,338,45,394,430,77
 만석동 ,219,31,26,37,8,55,52,10
 화수1.화평동 ,169,22,23,34,,34,45,7
 화수2동 ,120,18,14,30,,21,29,5
 송현1.2동 ,247,41,40,52,7,52,41,14
 송현3동 ,94,12,11,18,,18,28,5
 송림1동 ,219,30,30,36,8,48,60,7
 송림2동 ,29,5,,,,7,9,
 송림3.5동 ,191,18,18,41,7,37,61,9
 송림4동 ,207,32,27,48,,59,31,7
 송림6동 ,191,23,29,30,,44,51,11
 금창동 ,64,6,6,8,,19,23,
 연수구 ,8133,1243,1446,1218,162,2008,1769,287
 옥련1동 ,387,67,62,60,5,105,78,10
 선학동 ,538,72,106,125,12,94,95,34
 연수1동 ,570,80,123,90,11,100,123,43
 연수2동 ,588,77,119,113,14,124,105,36
 연수3동 ,367,57,50,75,9,83,76,17
 청학동 ,740,94,138,125,16,177,163,27
 동춘1동 ,370,64,49,67,9,95,71,15
 동춘2동 ,312,52,53,46,6,75,67,13
 동춘3동 ,168,22,15,21,,55,51,
 옥련2동 ,351,47,40,58,9,94,95,8
 송도1동 ,503,69,85,43,5,134,155,12
 송도3동 ,1020,169,205,109,22,262,234,19
 송도2동 ,672,93,109,69,7,191,188,15
 송도4동 ,482,70,78,58,13,137,118,8
 송도5동 ,1065,210,214,159,22,282,150,28
 남동구 ,13630,1955,2113,2813,309,3005,2822,613
 구월1동 ,765,117,107,155,12,177,167,30
 구월2동 ,560,89,81,95,14,152,114,15
 구월3동 ,1095,126,202,264,30,181,228,64
 구월4동 ,426,85,83,89,,77,75,13
 간석1동 ,427,58,69,107,15,82,70,26
 간석2동 ,542,62,80,121,13,115,124,27
 간석3동 ,1174,145,202,287,35,228,205,72
 간석4동 ,1154,139,187,316,41,210,182,79
 만수1동 ,421,76,69,82,,80,86,24
 만수2동 ,585,88,77,99,11,150,145,15
 만수3동 ,519,75,74,100,20,114,121,15
 만수4동 ,324,48,37,49,,91,89,7
 만수5동 ,323,49,58,60,,73,72,9
 만수6동 ,339,42,35,70,5,100,74,13
 남촌도림동 ,802,111,120,158,25,201,141,46
 논현1동 ,938,149,152,153,13,205,244,22
 논현2동 ,1116,160,171,227,22,242,233,61
 논현고잔동 ,925,141,155,152,15,217,212,33
 장수서창동 ,351,65,45,64,8,85,72,12
 서창2동 ,844,130,109,165,17,225,168,30
 부평구 ,18932,2077,2910,5730,647,3295,2950,1323
 부평1동 ,1773,167,304,598,77,254,232,141
 부평2동 ,1048,109,153,378,41,142,148,77
 부평3동 ,629,73,108,199,18,93,84,54
 부평4동 ,2729,243,402,1000,117,414,297,256
 부평5동 ,3160,235,488,1193,170,488,292,294
