군구별,국적별,남,여,연도
시,중국,2950,4511,2010
시,한국계 중국인,8319,7198,2010
시,베트남,4587,1933,2010
시,대만,1522,1317,2010
시,필리핀,2196,667,2010
시,태국,1729,415,2010
시,인도네시아,1972,128,2010
시,몽골,968,531,2010
시,파키스탄,1006,46,2010
시,우즈베키스탄,855,362,2010
시,미국,573,346,2010
시,스리랑카,936,17,2010
시,방글라데시,806,25,2010
시,일본,138,451,2010
시,네팔,519,46,2010
시,캐나다,176,102,2010
시,미얀마,447,25,2010
시,캄보디아,262,137,2010
시,러시아연방,33,108,2010
시,이라크,115,28,2010
시,영국,92,28,2010
시,요르단,101,29,2010
시,인도,81,37,2010
시,한국계 러시아인,39,59,2010
시,키르기스스탄,121,44,2010
시,카자흐스탄,33,39,2010
시,호주,41,18,2010
시,남아프리카공화국,35,39,2010
시,리비아,51,25,2010
시,말레이시아,28,21,2010
시,이집트,46,11,2010
시,뉴질랜드,25,6,2010
시,가나,30,4,2010
시,수단,21,6,2010
시,아일랜드,16,12,2010
시,프랑스,9,4,2010
시,독일,21,6,2010
시,멕시코,5,12,2010
시,이탈리아,9,4,2010
중구,중국,383,405,2010
중구,한국계 중국인,487,508,2010
중구,베트남,175,58,2010
중구,대만,657,595,2010
중구,필리핀,82,93,2010
중구,태국,66,11,2010
중구,인도네시아,36,2,2010
중구,몽골,13,15,2010
중구,파키스탄,21,9,2010
중구,우즈베키스탄,24,22,2010
중구,미국,73,25,2010
중구,스리랑카,1,0,2010
중구,방글라데시,2,0,2010
중구,일본,4,20,2010
중구,네팔,1,1,2010
중구,캐나다,13,6,2010
중구,미얀마,12,0,2010
중구,캄보디아,0,4,2010
중구,러시아연방,4,16,2010
중구,이라크,5,1,2010
중구,영국,10,3,2010
중구,요르단,10,0,2010
중구,인도,3,0,2010
중구,한국계 러시아인,1,7,2010
중구,키르기스스탄,6,1,2010
중구,카자흐스탄,0,3,2010
중구,호주,7,0,2010
중구,남아프리카공화국,3,4,2010
중구,리비아,8,3,2010
중구,말레이시아,9,0,2010
중구,이집트,1,2,2010
중구,뉴질랜드,2,0,2010
중구,수단,5,0,2010
중구,아일랜드,1,1,2010
중구,프랑스,3,2,2010
중구,독일,3,0,2010
중구,멕시코,1,0,2010
중구,이탈리아,3,2,2010
동구,중국,45,126,2010
동구,한국계 중국인,216,186,2010
동구,베트남,73,62,2010
동구,대만,79,47,2010
동구,필리핀,45,18,2010
동구,태국,30,6,2010
동구,인도네시아,44,5,2010
동구,몽골,8,5,2010
동구,파키스탄,23,1,2010
동구,우즈베키스탄,17,7,2010
동구,미국,4,3,2010
동구,스리랑카,6,1,2010
동구,방글라데시,4,0,2010
동구,일본,1,13,2010
동구,네팔,6,1,2010
동구,캐나다,2,0,2010
동구,미얀마,10,0,2010
동구,캄보디아,6,5,2010
동구,러시아연방,0,1,2010
동구,이라크,1,0,2010
동구,요르단,3,0,2010
동구,인도,1,0,2010
동구,키르기스스탄,2,0,2010
동구,호주,1,0,2010
동구,남아프리카공화국,1,0,2010
동구,리비아,1,0,2010
동구,프랑스,0,1,2010
동구,이탈리아,0,1,2010
남구,중국,751,1088,2010
남구,한국계 중국인,961,1034,2010
남구,베트남,254,269,2010
남구,대만,354,310,2010
남구,필리핀,99,82,2010
남구,태국,62,41,2010
남구,인도네시아,121,36,2010
남구,몽골,74,58,2010
남구,파키스탄,114,4,2010
남구,우즈베키스탄,78,58,2010
남구,미국,56,27,2010
남구,스리랑카,46,2,2010
남구,방글라데시,66,9,2010
남구,일본,21,68,2010
남구,네팔,33,7,2010
남구,캐나다,24,10,2010
남구,미얀마,29,10,2010
남구,캄보디아,13,24,2010
남구,러시아연방,5,27,2010
남구,이라크,8,5,2010
남구,영국,11,2,2010
남구,요르단,39,13,2010
남구,인도,42,19,2010
남구,한국계 러시아인,5,6,2010
남구,키르기스스탄,6,6,2010
남구,카자흐스탄,2,10,2010
남구,호주,3,3,2010
남구,남아프리카공화국,8,4,2010
남구,리비아,6,1,2010
남구,말레이시아,19,15,2010
남구,이집트,4,0,2010
남구,뉴질랜드,4,0,2010
남구,가나,3,0,2010
남구,수단,4,1,2010
남구,아일랜드,0,1,2010
남구,프랑스,1,0,2010
남구,독일,3,0,2010
남구,이탈리아,1,0,2010
연수구,중국,246,413,2010
연수구,한국계 중국인,543,535,2010
연수구,베트남,310,110,2010
연수구,대만,107,87,2010
연수구,필리핀,32,39,2010
연수구,태국,54,18,2010
연수구,인도네시아,9,3,2010
연수구,몽골,38,67,2010
연수구,파키스탄,57,11,2010
연수구,우즈베키스탄,61,59,2010
연수구,미국,139,102,2010
연수구,스리랑카,3,2,2010
연수구,방글라데시,13,1,2010
연수구,일본,33,43,2010
연수구,네팔,4,1,2010
연수구,캐나다,42,20,2010
연수구,미얀마,4,0,2010
연수구,캄보디아,6,9,2010
연수구,러시아연방,7,22,2010
연수구,이라크,22,5,2010
연수구,영국,19,9,2010
연수구,요르단,33,8,2010
연수구,인도,10,6,2010
연수구,한국계 러시아인,1,4,2010
연수구,키르기스스탄,74,23,2010
연수구,카자흐스탄,7,3,2010
연수구,호주,8,3,2010
연수구,남아프리카공화국,3,3,2010
연수구,리비아,19,15,2010
연수구,말레이시아,0,1,2010
연수구,이집트,25,7,2010
연수구,뉴질랜드,6,0,2010
연수구,가나,6,2,2010
연수구,수단,6,4,2010
연수구,아일랜드,1,4,2010
연수구,프랑스,1,0,2010
연수구,독일,12,5,2010
연수구,멕시코,0,3,2010
연수구,이탈리아,1,0,2010
남동구,중국,537,649,2010
남동구,한국계 중국인,1749,1161,2010
남동구,베트남,1770,406,2010
남동구,대만,82,70,2010
남동구,필리핀,988,158,2010
남동구,태국,597,102,2010
남동구,인도네시아,975,41,2010
남동구,몽골,298,73,2010
남동구,파키스탄,390,2,2010
남동구,우즈베키스탄,347,90,2010
남동구,미국,84,45,2010
남동구,스리랑카,386,6,2010
남동구,방글라데시,278,3,2010
남동구,일본,18,65,2010
남동구,네팔,197,23,2010
남동구,캐나다,31,19,2010
남동구,미얀마,170,4,2010
남동구,캄보디아,107,31,2010
남동구,러시아연방,6,14,2010
남동구,이라크,1,0,2010
남동구,영국,14,4,2010
남동구,요르단,4,0,2010
남동구,인도,16,7,2010
남동구,한국계 러시아인,24,29,2010
남동구,키르기스스탄,15,4,2010
남동구,카자흐스탄,9,2,2010
남동구,호주,5,4,2010
남동구,남아프리카공화국,1,6,2010
남동구,리비아,1,0,2010
남동구,뉴질랜드,2,1,2010
남동구,가나,2,0,2010
남동구,아일랜드,3,2,2010
남동구,프랑스,4,1,2010
남동구,독일,2,0,2010
남동구,이탈리아,4,1,2010
부평구,중국,390,816,2010
부평구,한국계 중국인,2068,1968,2010
부평구,베트남,345,353,2010
부평구,대만,148,127,2010
부평구,필리핀,78,74,2010
부평구,태국,96,55,2010
부평구,인도네시아,75,18,2010
부평구,몽골,82,90,2010
부평구,파키스탄,81,11,2010
부평구,우즈베키스탄,35,41,2010
부평구,미국,79,61,2010
부평구,스리랑카,103,2,2010
부평구,방글라데시,74,6,2010
부평구,일본,32,92,2010
부평구,네팔,29,5,2010
부평구,캐나다,29,24,2010
부평구,미얀마,65,9,2010
부평구,캄보디아,21,23,2010
부평구,러시아연방,7,17,2010
부평구,영국,20,7,2010
부평구,인도,3,0,2010
부평구,한국계 러시아인,1,7,2010
부평구,키르기스스탄,2,2,2010
부평구,카자흐스탄,5,8,2010
부평구,호주,5,1,2010
부평구,남아프리카공화국,6,9,2010
부평구,말레이시아,0,3,2010
부평구,이집트,1,0,2010
부평구,뉴질랜드,4,2,2010
부평구,가나,2,1,2010
부평구,아일랜드,7,1,2010
부평구,독일,1,0,2010
부평구,멕시코,4,8,2010
계양구,중국,189,486,2010
계양구,한국계 중국인,580,652,2010
계양구,베트남,153,216,2010
계양구,대만,34,43,2010
계양구,필리핀,54,55,2010
계양구,태국,37,41,2010
계양구,인도네시아,31,5,2010
계양구,몽골,51,115,2010
계양구,파키스탄,35,0,2010
계양구,우즈베키스탄,24,26,2010
계양구,미국,60,35,2010
계양구,스리랑카,24,2,2010
계양구,방글라데시,32,2,2010
계양구,일본,7,77,2010
계양구,네팔,15,3,2010
계양구,캐나다,19,13,2010
계양구,미얀마,13,0,2010
계양구,캄보디아,7,11,2010
계양구,러시아연방,0,4,2010
계양구,영국,9,1,2010
계양구,요르단,2,0,2010
계양구,인도,2,2,2010
계양구,한국계 러시아인,4,1,2010
계양구,키르기스스탄,0,5,2010
계양구,카자흐스탄,0,4,2010
계양구,호주,3,0,2010
계양구,남아프리카공화국,4,3,2010
계양구,말레이시아,0,1,2010
계양구,뉴질랜드,2,1,2010
계양구,아일랜드,4,1,2010
계양구,독일,0,1,2010
계양구,멕시코,0,1,2010
서구,중국,353,463,2010
서구,한국계 중국인,1630,1052,2010
서구,베트남,1463,381,2010
서구,대만,56,34,2010
서구,필리핀,789,130,2010
서구,태국,779,131,2010
서구,인도네시아,658,17,2010
서구,몽골,387,104,2010
서구,파키스탄,281,8,2010
서구,우즈베키스탄,266,50,2010
서구,미국,62,39,2010
서구,스리랑카,360,2,2010
서구,방글라데시,327,4,2010
서구,일본,21,56,2010
서구,네팔,222,5,2010
서구,캐나다,12,8,2010
서구,미얀마,140,2,2010
서구,캄보디아,101,22,2010
서구,러시아연방,2,5,2010
서구,이라크,78,17,2010
서구,영국,9,1,2010
서구,요르단,10,8,2010
서구,인도,4,3,2010
서구,한국계 러시아인,3,4,2010
서구,키르기스스탄,15,3,2010
서구,카자흐스탄,10,6,2010
서구,호주,8,7,2010
서구,남아프리카공화국,4,7,2010
서구,리비아,16,6,2010
서구,말레이시아,0,1,2010
서구,이집트,15,2,2010
서구,뉴질랜드,5,2,2010
서구,가나,17,1,2010
서구,수단,6,1,2010
서구,아일랜드,0,2,2010
강화군,중국,41,54,2010
강화군,한국계 중국인,69,86,2010
강화군,베트남,34,68,2010
강화군,대만,5,4,2010
강화군,필리핀,9,17,2010
강화군,태국,8,9,2010
강화군,인도네시아,23,1,2010
강화군,몽골,14,4,2010
강화군,파키스탄,2,0,2010
강화군,우즈베키스탄,3,9,2010
강화군,미국,13,9,2010
강화군,스리랑카,7,0,2010
강화군,방글라데시,10,0,2010
강화군,일본,1,17,2010
강화군,네팔,10,0,2010
강화군,캐나다,3,2,2010
강화군,미얀마,4,0,2010
강화군,캄보디아,1,8,2010
강화군,러시아연방,2,2,2010
강화군,영국,0,1,2010
강화군,한국계 러시아인,0,1,2010
강화군,키르기스스탄,1,0,2010
강화군,카자흐스탄,0,2,2010
강화군,호주,1,0,2010
강화군,남아프리카공화국,5,3,2010
옹진군,중국,15,11,2010
옹진군,한국계 중국인,16,16,2010
옹진군,베트남,10,10,2010
옹진군,필리핀,20,1,2010
옹진군,태국,0,1,2010
옹진군,몽골,3,0,2010
옹진군,파키스탄,2,0,2010
옹진군,미국,3,0,2010
옹진군,네팔,2,0,2010
옹진군,캐나다,1,0,2010
옹진군,카자흐스탄,0,1,2010
시,중국,2973,4678,2011
시,베트남,4240,2210,2011
시,대만,1521,1300,2011
시,필리핀,1915,671,2011
시,태국,1578,388,2011
시,인도네시아,1847,125,2011
시,파키스탄,909,40,2011
시,우즈베키스탄,885,428,2011
시,미국,536,311,2011
시,스리랑카,883,15,2011
시,방글라데시,879,30,2011
시,일본,164,2586,2011
시,네팔,676,53,2011
시,캐나다,170,106,2011
시,미얀마,622,28,2011
시,러시아연방,38,116,2011
시,영국,117,40,2011
시,카자흐스탄,37,44,2011
시,호주,34,20,2011
시,프랑스,21,12,2011
시,독일,17,6,2011
시,기타,10461,6487,2011
중구,중국,402,430,2011
중구,베트남,185,56,2011
