연도,시도,국가대분류,국가소분류,취득자 수(명)
2019,제주특별자치도,동북아시아,중국,381
2019,제주특별자치도,동북아시아,중국(한국계),759
2019,제주특별자치도,동북아시아,대만,98
2019,제주특별자치도,동북아시아,일본,9
2019,제주특별자치도,동북아시아,몽골,7
2019,제주특별자치도,동남아시아,베트남,544
2019,제주특별자치도,동남아시아,필리핀,170
2019,제주특별자치도,동남아시아,태국,
2019,제주특별자치도,동남아시아,인도네시아,
2019,제주특별자치도,동남아시아,캄보디아,46
2019,제주특별자치도,동남아시아,미얀마,
2019,제주특별자치도,동남아시아,말레이시아,
2019,제주특별자치도,동남아시아,라오스,
2019,제주특별자치도,동남아시아,동티모르,
2019,제주특별자치도,동남아시아,기타,
2019,제주특별자치도,서남아시아,스리랑카,
2019,제주특별자치도,서남아시아,파키스탄,
2019,제주특별자치도,서남아시아,방글라데시,
2019,제주특별자치도,서남아시아,네팔,43
2019,제주특별자치도,서남아시아,기타,
2019,제주특별자치도,중앙아시아,우즈베키스탄,13
2019,제주특별자치도,중앙아시아,카자흐스탄,
2019,제주특별자치도,중앙아시아,키르기스탄,
2019,제주특별자치도,중앙아시아,기타,
2019,제주특별자치도,아시아(기타),아시아(기타),
2019,제주특별자치도,미국,미국,5
2019,제주특별자치도,캐나다,캐나다,
2019,제주특별자치도,유럽,러시아,7
2019,제주특별자치도,유럽,러시아(한국계),
2019,제주특별자치도,유럽,영국,
2019,제주특별자치도,유럽,기타,
2019,제주특별자치도,오세아니아,오세아니아,
2019,제주특별자치도,중남미,중남미,
2019,제주특별자치도,아프리카,아프리카,
2019,제주특별자치도,기타,기타,7
2018,제주특별자치도,동북아시아,중국,371
2018,제주특별자치도,동북아시아,중국(한국계),698
2018,제주특별자치도,동북아시아,대만,88
2018,제주특별자치도,동북아시아,일본,12
2018,제주특별자치도,동북아시아,몽골,6
2018,제주특별자치도,동남아시아,베트남,448
2018,제주특별자치도,동남아시아,필리핀,136
2018,제주특별자치도,동남아시아,태국,
2018,제주특별자치도,동남아시아,인도네시아,
2018,제주특별자치도,동남아시아,캄보디아,38
2018,제주특별자치도,동남아시아,미얀마,
2018,제주특별자치도,동남아시아,말레이시아,
2018,제주특별자치도,동남아시아,라오스,
2018,제주특별자치도,동남아시아,동티모르,
2018,제주특별자치도,동남아시아,기타,
2018,제주특별자치도,서남아시아,스리랑카,
2018,제주특별자치도,서남아시아,파키스탄,
2018,제주특별자치도,서남아시아,방글라데시,
2018,제주특별자치도,서남아시아,네팔,37
2018,제주특별자치도,서남아시아,기타,
2018,제주특별자치도,중앙아시아,우즈베키스탄,9
2018,제주특별자치도,중앙아시아,카자흐스탄,
2018,제주특별자치도,중앙아시아,키르기스탄,
2018,제주특별자치도,중앙아시아,기타,
2018,제주특별자치도,아시아(기타),아시아(기타),
2018,제주특별자치도,미국,미국,6
2018,제주특별자치도,캐나다,캐나다,
2018,제주특별자치도,유럽,러시아,7
2018,제주특별자치도,유럽,러시아(한국계),
2018,제주특별자치도,유럽,영국,
2018,제주특별자치도,유럽,기타,
2018,제주특별자치도,오세아니아,오세아니아,
2018,제주특별자치도,중남미,중남미,
2018,제주특별자치도,아프리카,아프리카,
2018,제주특별자치도,기타,기타,10
2017,제주특별자치도,동북아시아,중국,345
2017,제주특별자치도,동북아시아,중국(한국계),666
2017,제주특별자치도,동북아시아,대만,83
2017,제주특별자치도,동북아시아,일본,15
2017,제주특별자치도,동북아시아,몽골,5
2017,제주특별자치도,동남아시아,베트남,383
2017,제주특별자치도,동남아시아,필리핀,120
2017,제주특별자치도,동남아시아,태국,
2017,제주특별자치도,동남아시아,인도네시아,
2017,제주특별자치도,동남아시아,캄보디아,32
2017,제주특별자치도,동남아시아,미얀마,
2017,제주특별자치도,동남아시아,말레이시아,
2017,제주특별자치도,동남아시아,라오스,
2017,제주특별자치도,동남아시아,동티모르,
2017,제주특별자치도,동남아시아,기타,
2017,제주특별자치도,서남아시아,스리랑카,
2017,제주특별자치도,서남아시아,파키스탄,
2017,제주특별자치도,서남아시아,방글라데시,
2017,제주특별자치도,서남아시아,네팔,28
2017,제주특별자치도,서남아시아,기타,
2017,제주특별자치도,중앙아시아,우즈베키스탄,10
2017,제주특별자치도,중앙아시아,카자흐스탄,
2017,제주특별자치도,중앙아시아,키르기스탄,
2017,제주특별자치도,중앙아시아,기타,
2017,제주특별자치도,아시아(기타),아시아(기타),
2017,제주특별자치도,미국,미국,
2017,제주특별자치도,캐나다,캐나다,
2017,제주특별자치도,유럽,러시아,
2017,제주특별자치도,유럽,러시아(한국계),
2017,제주특별자치도,유럽,영국,
2017,제주특별자치도,유럽,기타,
2017,제주특별자치도,오세아니아,오세아니아,
2017,제주특별자치도,중남미,중남미,
2017,제주특별자치도,아프리카,아프리카,
2017,제주특별자치도,기타,기타,7
