text,category,split
"수강료 83,760원 (12회) / 교재비 24,0원",비용,train
부득이한 경우에 한해서만 2022.1.10.(월) 9~12시 실과실로 반납,일정,train
휴대폰 본인인증 인증 번호 입력,기타,train
독서교육 주간은 9월 22일(월)부터 26일(금)까지 운영됩니다.,일정,train
"수강료, 교재비, 재료비 스쿨뱅킹 신용카드 납부",비용,train
일본뇌염 필수예방접종 사백신 4차 또는 생백신 2차 완료,건강·안전,train
식품 알레르기 학생은 급식실 직원에게 사전 안내해 주세요.,건강·안전,train
"카드뉴스 수상작: 추후 원본 파일 제출 필수(형식: ai, psd)",제출,val
힌트 글 그림 : 조재현 환경보건교육 해양환경교육 과학칼럼에 생태전환교육 환경생활교육 답이 있어요 응모기간 응모대상 까지 2023. 5. 19.(금) 학생 및 일반 참여방법 응모권에 정답을 적어 응모함(북카페에 비치)에 넣어주세요 당첨혜택 당첨자 발표 정답자를 추첨하여 2023. 5. 26.(금) 이후 소정의 선물을 드립니다 당첨자에 한해 개별 연락 지난호(vol.,일정,train
"장시간 계속 수영하지 않으며, 호수나 강에서는 혼자 수영하지 않는다.",기타,train
신속항원 검사 양성인 경우 PCR검사(전문가용 신속항원검사)를 실시한다.,건강·안전,train
신청기간: 2022년 5월 28일(토) 10:00 ~ 5월 30일(월) 18:00,일정,train
학교에서 전달받은 단말기 하단의 12자리(9 + 3자리) 숫자를 홈-자녀정보의 '단말기등록하기'버튼을 누른 뒤 입력,제출,train
2차 신청기간: 12월 7일(화) 오후 12시 30분~해당 프로그램 시작 전까지(12월 13일~18일 프로그램 신청),일정,train
2026.4.28.(화) 5-6학년 책가방 없는 날 일과운영,일정,train
"중식비 수납 금액 : 138,0원(23식x6,0원/1식) - 신청자에게만 적용됨다.",비용,train
"노출이 심한 옷은 삼가고, 단정한 복장을 착용한다",준비물,train
2021학년도 4분기 방과후 원어민영어교실을 다음과 같이 운영하오니 기한 내에 신청 바랍니다.,제출,train
4. 미동의 시 불이익 사항 : 학교급식 모니터링 활동에 참여하실 수 없습니다.개인정보 수집 동의 예 아니요 개인정보 수집 동의 예 아니요 개인정보 수집 동의 예 아니요 식품 알레르기,건강·안전,train
