"text","category"
"2026학년도 2학년 1학기 현장체험학습 참가 신청","제출"
"아래 내용을 참고하여 참가 신청서를 5월 7일(목)까지 담임 선생님께 제출해 주시기 바랍니다.","제출"
"일시: 2026년 5월 28일(목), 08:50~14:20","일정"
"장소: 부산문화회관 및 부산문화회관 앞 광장","일정"
"1인당 경비: 약 44,870원 - 학교 예산 지원 / 학부모 부담 경비 없음","비용"
"준비물: 점심 도시락, 개인 돗자리(스스로 접어 정리), 간식(뚜껑 있는 통에 담아 오기), 시원한 물, 활동복, 운동화, 비닐봉지 2장(비상용 및 쓰레기 담아갈 용도), 모자, 휴대용 물티슈, 개인용품 등","준비물"
"2026학년도 2학년 1학기 현장체험학습 참가 신청서","제출"
"해당란에 표하여 5월 7일(목)까지 담임 선생님께 제출해 주세요.","제출"
"학교 급식실 현대화 사업 안내 및 대체급식방법 희망 조사","일정"
"아래 대체급식 방법을 확인하시어 답해 주시기 바랍니다.","기타"
"급식중단기간(61일간): 2026. 9. 1. ~ 11. 30.(정확한 일정은 추후 공지)","기타"
"학교급식 중단에 따른 대체급식방법 설문 대상: 1~6학년(재학생 1명당 1회 응답)","기타"
"설문 기간: 2026. 4. 6.(월) 09:00 ~ 2026. 4. 10.(금) 11:00","일정"
"설문 방법: 유레카를 통한 온라인 조사(아래의 링크 또는 QR코드 이용)","제출"
"3안 (개인 도시락 지참) - 가정용 도시락","준비물"
"교육일시: 2026. 4. 25.(토), 5. 2.(토) 09:20~12:10","일정"
"교육장소: 해운대메이커교육체험센터(해운대구 아랫반송로 40번길 37-18)","일정"
"신청방법: 부산광역시교육청 통합예약포털","제출"
"신청기간: 2026. 4. 14.(화) 09:00 ~ 2026. 4. 17(금) 17:00 추첨 선정","제출"
"문의사항은 051-915-3433~4로 연락 부탁드립니다.","기타"
"아래 내용을 참고하시어 학생들이 검사 당일 결석하지 않도록 협조해 주시기 바랍니다.","기타"
"소변검사 결과 및 재검 안내문을 받은 이상소견이 있는 학생은 가까운 병원을 방문하여 정밀검사를 받도록 합니다.","건강·안전"
"1. 검사 일시: 2026년 4월 23일(목), 오전 8시 40분부터(등교 후 바로 시행)","일정"
"3. 검사 비용: 무료 (검사비는 학교에서 지불)","비용"
