text,category,source
"학교 발전기금 20,000원을 자율적으로 납부하실 수 있습니다.",비용,학교알리미_공공데이터
"교복 구매 지원금 3,000원이 학부모 계좌로 10월 중 지급될 예정입니다.",비용,학교알리미_공공데이터
1학기 기말고사는 7월 21일(월)부터 22일(금)까지 실시됩니다.,일정,학교알리미_공공데이터
"교복 구매 지원금 20,000원이 학부모 계좌로 4월 중 지급될 예정입니다.",비용,학교알리미_공공데이터
방과후학교 2기 수강 신청 기간은 6월 11일~13일입니다.,일정,학교알리미_공공데이터
교원능력개발평가가 11월 9일부터 14일까지 실시됩니다.,일정,학교알리미_공공데이터
2학기 중간고사 일정은 5월 16일~21일입니다.,일정,학교알리미_공공데이터
"현장체험학습 참가비 200,000원을 9월 5일까지 스쿨뱅킹으로 납부해 주세요.",비용,학교알리미_공공데이터
7월 19일(월)부터 21일(금)까지 여름방학입니다.,일정,학교알리미_공공데이터
입학식은 9월 11일(화) 오전 10시 30분에 체육관에서 실시됩니다.,일정,학교알리미_공공데이터
수영 안전교육 이수 확인서를 3월 5일까지 담임 선생님께 제출 바랍니다.,건강·안전,학교알리미_공공데이터
교통안전 교육이 7월 7일에 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
학교 운동회(체육대회)는 8월 23일(목) 오전 9시에 운동장에서 개최됩니다.,일정,학교알리미_공공데이터
2026학년도 2학기 개학일은 10월 20일(월)입니다.,일정,학교알리미_공공데이터
진로 체험의 날 행사가 8월 28일(화)에 예정되어 있습니다.,일정,학교알리미_공공데이터
교통안전 교육이 5월 15일에 실시될 예정입니다.,건강·안전,학교알리미_공공데이터
현장체험학습은 5월 6일(화) 오전 8시 50분에 출발합니다.,일정,학교알리미_공공데이터
교육과정 설명회가 5월 22일(화) 오후 7시에 강당에서 열립니다.,일정,학교알리미_공공데이터
"수학여행비 5,000원은 5월 26일까지 납부 바랍니다.",비용,학교알리미_공공데이터
