text,category
한국어 학습이 필요한 다문화가정 학생 및 학부모(보호자) 모두 기한 내 신청하여 주시기 바랍니다.,일정
신청 기간: 2023. 3. 6. (월) ~ 3. 17. (금),일정
2025학년도 1학기 학부모 상담은 5월 12일(월)부터 16일(금)까지 운영됩니다.,일정
현장체험학습은 5월 20일(화) 오전 9시에 출발합니다.,일정
입학식은 3월 4일(화) 오전 10시에 강당에서 진행됩니다.,일정
학교설명회는 2월 14일(금) 오후 2시 강당에서 개최됩니다.,일정
운동회는 10월 5일(토) 오전 9시 30분 운동장에서 열립니다.,일정
졸업식은 2월 14일(금) 오전 10시 강당에서 진행될 예정입니다.,일정
학부모 총회는 3월 28일(금) 오후 3시에 강당에서 열립니다.,일정
방학은 7월 25일(금)부터 8월 17일(일)까지입니다.,일정
개학일은 8월 18일(월)입니다.,일정
1학기 기말고사는 6월 23일(월)부터 25일(수)까지 실시합니다.,일정
학예발표회는 11월 15일(토) 오후 2시에 개최됩니다.,일정
체육대회는 9월 18일(목) 오전 9시에 운동장에서 진행됩니다.,일정
독서교육 주간은 9월 22일(월)부터 26일(금)까지 운영됩니다.,일정
수학여행은 10월 13일(월)부터 15일(수)까지 2박 3일 일정입니다.,일정
생태체험학습 일정은 4월 10일(목) 오전 8시 50분 출발입니다.,일정
영어체험학습은 5월 8일(목) 진행 예정입니다.,일정
학부모 공개수업은 4월 25일(금) 오전 3~4교시에 운영됩니다.,일정
돌봄교실 신청 기간은 2월 17일(월)부터 21일(금)까지입니다.,일정
소풍은 4월 17일(목)에 진행됩니다.,일정
2학기 시작은 9월 1일(월)입니다.,일정
학부모 상담 주간은 5월 둘째 주 월요일부터 금요일까지입니다.,일정
온라인 한국어 강의 신청 기간은 3월 6일부터 17일까지입니다.,일정
신입생 예방접종 확인 기간: 3월 4일(화) ~ 3월 28일(금),일정
우산을 꼭 지참하시기 바랍니다.,준비물
체험학습 당일 도시락과 물을 준비해 주세요.,준비물
현장학습 당일 편한 운동화를 신고 오세요.,준비물
수영복과 수건을 반드시 지참하시기 바랍니다.,준비물
실내화 주머니를 매일 챙겨주시기 바랍니다.,준비물
미술 수업에 필요한 물감과 붓을 준비해 주세요.,준비물
스케치북과 색연필을 가져오시기 바랍니다.,준비물
여벌 옷을 준비해 보내주시기 바랍니다.,준비물
장갑과 목도리 등 방한용품을 착용시켜 주세요.,준비물
운동화를 착용하여 등교해 주세요.,준비물
체육복을 매일 착용하여 등교하게 해주시기 바랍니다.,준비물
모자와 선크림을 준비해 주시기 바랍니다.,준비물
학용품(연필·지우개·색연필)을 충분히 준비해 주세요.,준비물
교과서와 공책을 빠짐없이 챙겨주시기 바랍니다.,준비물
수학여행 짐은 배낭 하나로 제한합니다.,준비물
생수 한 병과 간식을 준비해 오세요.,준비물
앞치마와 고무장갑을 지참해 주세요.,준비물
보조 배터리 지참을 금지합니다.,준비물
마스크를 꼭 착용하고 등교하시기 바랍니다.,준비물
장화나 방수 신발을 준비해 주세요.,준비물
동아리 활동에 필요한 재료를 개인 지참하여 주세요.,준비물
"학습 준비물: 자, 컴퍼스, 각도기를 준비해 주세요.",준비물
아이들이 편안한 복장으로 등교할 수 있도록 해주세요.,준비물
견학 당일 도시락과 음료를 준비해 주시기 바랍니다.,준비물
동의서를 작성하여 3월 20일까지 담임선생님께 제출해 주세요.,제출
설문 조사에 참여하여 주시기 바랍니다.,제출
개인정보 동의서를 아이 편에 보내주시기 바랍니다.,제출
급식 신청서를 작성하여 3월 7일까지 제출해 주세요.,제출
행정정보 공동이용 사전 동의서를 3월 15일까지 제출해 주세요.,제출
현장체험학습 동의서 및 비용 납부를 4월 30일까지 완료해 주세요.,제출
온라인 설문에 4월 14일까지 응답해 주시기 바랍니다.,제출
건강 상태 자가진단 설문을 매일 완료해 주세요.,제출
가족 여행 계획서를 담임선생님께 사전 제출해 주세요.,제출
알레르기 정보 조사지를 작성하여 제출해 주시기 바랍니다.,제출
포트폴리오 서류를 3월 10일까지 담임선생님께 제출해 주세요.,제출
학부모 회원 가입 신청서를 3월 28일까지 제출해 주시기 바랍니다.,제출
졸업앨범 사진 동의서를 반드시 제출하여 주시기 바랍니다.,제출
알림장 앱 설치 후 가입 확인을 해주시기 바랍니다.,제출
돌봄교실 신청서를 작성하여 담임선생님께 제출해 주세요.,제출
수학여행 동의서를 3월 31일까지 학교로 제출해 주세요.,제출
의료정보 제공 동의서를 주치의 서명 후 제출해 주세요.,제출
입학 서류(주민등록등본 1부)를 2월 10일까지 제출해 주시기 바랍니다.,제출
긴급연락처 변경 신청서를 반 담임선생님께 제출해 주세요.,제출
온라인 학부모 총회 참석 의향 설문에 응답해 주시기 바랍니다.,제출
학부모 자원봉사 신청서를 4월 7일까지 제출해 주세요.,제출
교과서 대여 신청서를 학기 초에 제출해 주세요.,제출
교육급여 신청서를 학교에 제출해 주시기 바랍니다.,제출
현장체험학습 참가비 3만 원을 3월 20일까지 납부해 주세요.,비용
급식비 월 6만 5천 원을 10일까지 납부해 주시기 바랍니다.,비용
입학 준비금 신청서를 제출하시면 10만 원이 지원됩니다.,비용
방과후 수업료 3만 원을 이번 달 말까지 납부해 주세요.,비용
수학여행 경비 총 15만 원을 4월 30일까지 학교 계좌로 납부해 주세요.,비용
"급식 신청비 월 70,000원을 계좌이체해 주시기 바랍니다.",비용
교복 구입 시 교육청 지원금 40만 원이 지급됩니다.,비용
"수련활동 비용 75,000원을 5월 2일까지 납부해 주시기 바랍니다.",비용
"체험학습비 20,000원을 담임선생님께 직접 납부해 주세요.",비용
저소득층 학생 급식비 면제 신청이 가능합니다.,비용
"돌봄교실 이용료 월 50,000원을 선납해 주세요.",비용
방과후학교 수강료를 다음 달 5일까지 납부해 주세요.,비용
교육비 지원 신청은 주민센터에서 하실 수 있습니다.,비용
"교재비 12,000원을 학기 초에 납부해 주시기 바랍니다.",비용
"현장학습 버스비 10,000원을 3월 25일까지 납부해 주세요.",비용
"문화예술 프로그램 참가비 30,000원을 입금해 주시기 바랍니다.",비용
"급식 시작은 3월 4일(화)이며, 급식비는 학교 계좌로 납부해 주세요.",비용
학교 자체 급식일에는 비용이 발생하지 않습니다.,비용
저소득 가정 교육비 지원 신청서를 3월 말까지 제출해 주세요.,비용
교복 구입비를 지원받으려면 담임선생님께 신청해 주세요.,비용
아이가 아플 경우 반드시 학교에 연락해 주시기 바랍니다.,건강·안전
결석 시 출석 확인서와 의사 소견서를 첨부해 주세요.,건강·안전
발열·기침 증상이 있는 경우 등교를 자제해 주세요.,건강·안전
인플루엔자 예방접종을 10월 31일까지 완료해 주세요.,건강·안전
등하교 시 꼭 손을 씻도록 지도해 주세요.,건강·안전
체육 활동 후 충분한 수분 보충을 권장합니다.,건강·안전
학교 내 안전사고 예방을 위해 복도에서 뛰지 않도록 지도해 주세요.,건강·안전
황사·미세먼지 주의보 시 마스크를 착용하게 해주세요.,건강·안전
전염병 예방을 위해 개인위생 관리에 협조 부탁드립니다.,건강·안전
학생 건강 자가진단 앱을 매일 아침 시행해 주세요.,건강·안전
코로나19 확진 시 즉시 학교에 알려주시기 바랍니다.,건강·안전
식품 알레르기 학생은 급식실 직원에게 사전 안내해 주세요.,건강·안전
온열 질환 예방을 위해 물을 충분히 마시게 해주세요.,건강·안전
교통안전 교육 결과를 가정에서도 복습시켜 주세요.,건강·안전
소화기 사용법과 대피 방법을 자녀에게 알려주세요.,건강·안전
버스 탑승 시 안전벨트를 꼭 착용하도록 지도해 주세요.,건강·안전
수영 수업 전 준비운동을 철저히 하도록 안내해 주세요.,건강·안전
자전거 이용 시 헬멧 착용을 의무화합니다.,건강·안전
학교 주변 교통안전 지도에 협조해 주시기 바랍니다.,건강·안전
감염병 예방을 위한 환경부 지침을 준수해 주세요.,건강·안전
아이의 규칙적인 수면과 균형 잡힌 식사를 도와주세요.,건강·안전
결석 2일 이상 시 담임선생님께 반드시 연락 바랍니다.,건강·안전
예방접종 기록을 학교에 제출해 주시기 바랍니다.,건강·안전
지진 대피 훈련이 5월 21일(수) 10시에 실시됩니다.,건강·안전
안전한 학교생활을 위해 교내 금지 물품을 반입하지 말아 주세요.,건강·안전
우리 학교는 다문화 가정을 환영하고 적극 지원합니다.,기타
학교 홈페이지 공지사항을 수시로 확인해 주세요.,기타
궁금한 사항은 담임선생님께 문의해 주세요.,기타
교육활동에 항상 관심 가져주셔서 감사합니다.,기타
학교 교육방침에 협조해 주심에 감사드립니다.,기타
